gID	S1	S2	S3	S4	S5
K05785	0.000000	0.000000	0.011808	0.000000	0.000000
K05788	0.123677	0.059420	0.094462	0.106501	0.156206
K01440	0.067460	0.178261	0.141693	0.000000	0.156206
K01441	0.101190	0.133696	0.224347	0.053250	0.223152
K01442	2.406081	1.292390	5.455170	1.650761	3.793576
K01443	6.779752	27.006497	4.050051	4.739281	8.211976
K01444	0.078704	0.178261	0.566771	0.239627	0.312412
K01448	0.056217	0.044565	0.035423	0.106501	0.022315
K01449	0.000000	0.014855	0.047231	0.000000	0.022315
K09277	0.314814	0.118840	0.212539	0.266252	0.066945
K09276	0.000000	0.178261	0.212539	0.000000	0.357042
K09275	0.000000	0.029710	0.011808	0.053250	0.000000
K09273	0.460978	0.282246	1.098119	0.585754	0.624824
K09272	17.382250	52.141256	33.132484	37.221996	38.225857
K09270	0.033730	0.103985	0.118077	0.133126	0.156206
K14802	19.529734	49.185100	35.612107	46.886935	48.133785
K14803	5.194437	5.154705	13.071155	6.230291	10.845164
K14800	22.981449	7.338399	12.964885	4.286653	10.108764
K14801	5.228167	2.926447	7.379830	5.751038	6.359819
K14806	39.812774	12.611945	42.129972	9.558438	30.259347
K14807	13.076039	5.689488	7.273560	4.126902	4.485346
K05569	0.000000	0.000000	0.000000	0.000000	0.000000
K08008	4.486105	5.912313	18.254747	12.274206	12.585746
K02062	0.000000	0.044565	0.070846	0.106501	0.022315
K14808	68.955589	31.567000	59.829756	14.377595	29.366741
K14809	49.268448	20.425706	45.542406	10.623445	23.006923
K08003	0.011243	0.014855	0.011808	0.053250	0.156206
K08002	0.033730	0.029710	0.082654	0.079876	0.089261
K08001	0.000000	0.000000	0.011808	0.000000	0.000000
K09328	0.089947	0.386232	0.472309	0.213001	0.468618
K03331	0.314814	0.787318	2.774816	0.612379	2.543927
K03333	0.033730	0.014855	0.035423	0.000000	0.000000
K03334	0.022487	0.000000	0.000000	0.026625	0.022315
K03335	0.517195	0.757608	0.885580	0.612379	0.847976
K03336	0.337301	5.436952	0.602194	0.399378	0.267782
K12956	0.247354	0.207971	2.231661	4.419779	4.440715
K12957	0.348544	0.713043	0.566771	0.718880	0.714085
K12954	0.213624	0.103985	0.377847	0.372752	0.423988
K12953	0.550925	0.594202	1.133542	3.461273	1.026497
K12951	0.112434	0.282246	1.168965	0.292877	0.914921
K14735	0.078704	1.232970	2.408776	0.213001	7.386316
K06148	2.372351	4.248547	6.269903	3.674274	5.712679
K09669	0.618385	1.827172	0.850156	0.559129	0.781030
K09664	0.022487	0.000000	0.035423	0.026625	0.000000
K06145	0.044973	0.000000	0.000000	0.000000	0.000000
K09666	0.269841	0.237681	0.212539	0.186376	0.312412
K06147	14.582651	39.217355	47.278142	41.668401	89.305242
K09660	7.117053	7.368109	8.914834	10.224068	9.595516
K06142	0.033730	0.059420	0.059039	0.106501	0.000000
K06143	0.000000	0.000000	0.000000	0.026625	0.000000
K17382	1.382935	1.693477	2.999163	1.464385	2.923285
K11585	0.022487	0.029710	0.011808	0.000000	0.156206
K07662	0.056217	0.029710	0.000000	0.000000	0.022315
K04814	0.044973	0.029710	0.082654	0.079876	0.044630
K04815	0.056217	0.029710	0.224347	0.106501	0.133891
K04810	0.326058	0.207971	0.802925	0.292877	0.557879
K04811	0.202381	0.059420	0.259770	0.106501	0.379358
K04812	0.056217	0.014855	0.153500	0.053250	0.066945
K01485	0.303571	0.623912	0.377847	0.213001	0.133891
K04818	0.000000	0.014855	0.023615	0.000000	0.044630
K14664	0.146164	0.222826	0.330616	0.186376	0.334727
K13811	37.710263	208.000534	51.221923	51.546341	59.112840
K07660	0.011243	0.014855	0.000000	0.053250	0.066945
K14663	0.303571	0.193116	0.200731	0.133126	0.156206
K11978	1.585315	4.931880	2.550469	1.730636	2.834024
K11603	0.022487	0.000000	0.059039	0.000000	0.111576
K11977	0.753306	0.891304	2.066352	1.597511	1.963733
K11600	17.494684	12.671365	11.288188	4.499655	6.940013
K11971	5.475521	8.838760	12.008459	5.884164	9.416995
K11970	0.033730	0.014855	0.000000	0.000000	0.022315
K11973	0.730819	2.153984	0.921003	0.931881	0.981867
K11972	2.788356	4.709054	11.052033	4.872407	9.840982
K10555	0.044973	0.044565	0.059039	0.000000	0.044630
K12771	0.033730	0.148551	0.377847	0.026625	0.312412
K12776	0.382275	0.178261	0.366040	0.186376	0.290097
K07238	39.205632	90.452453	32.955368	37.142121	37.243990
K07542	2.754626	14.691653	4.463321	3.940526	6.136667
K07232	0.281084	0.415942	0.590386	0.319502	0.557879
K16478	1.529098	1.039854	2.337930	1.171508	2.075309
K16470	0.719576	1.500361	2.833855	1.757262	4.663867
K16473	2.327378	3.342388	5.962902	2.502767	5.132485
K16475	0.056217	0.178261	0.720271	0.106501	0.423988
K16474	9.208320	14.617378	26.909811	11.608577	25.394644
K08647	1.000660	0.163406	0.212539	0.319502	0.133891
K08641	0.044973	0.000000	0.011808	0.079876	0.000000
K08649	0.011243	0.059420	0.047231	0.106501	0.022315
K08648	0.044973	0.044565	0.059039	0.000000	0.044630
K01000	0.393518	0.371376	0.425078	0.319502	1.695952
K10734	1.427908	1.663767	1.924660	1.704011	2.030679
K10735	4.160047	9.997455	6.848482	4.366529	7.654097
K10736	2.068780	3.015577	4.203551	2.742393	3.615055
K10737	5.498008	5.496372	8.218178	13.924967	9.193843
K10730	5.239410	7.516660	11.299995	9.372062	9.640146
K10732	5.194437	16.726796	10.083799	8.812933	9.483940
K10733	4.137560	15.256145	7.001983	4.339904	6.984643
K00010	13.019823	2.926447	17.711592	11.821578	27.760050
K00011	1.405421	0.965579	1.499581	0.505878	1.071127
K00012	244.385893	213.006688	80.032778	126.096834	92.451679
K00013	4.294967	2.644200	6.883905	4.393154	4.016728
K00014	5.722875	5.288401	4.002820	2.529392	3.258012
K10739	7.712952	12.715930	14.688813	8.706433	16.535528
K00016	8.533718	9.328977	14.133850	10.916322	14.214752
K09060	0.022487	0.044565	0.070846	0.159751	0.044630
K09061	0.011243	0.014855	0.000000	0.000000	0.044630
K09069	0.022487	0.014855	0.000000	0.026625	0.000000
K08252	0.674602	0.252536	0.507732	0.239627	0.557879
