RI1461,C14726
RI1462,C14750
RI1463,C14750
RI1464,C14751
RI1465,C14751
RI1466,C14754
RI1467,C14754
RI1468,C14762
RI1469,C14767
RI1470,C14772
RI1471,C14772
RI1472,C14773
RI1473,C14773
RI1474,C14774
RI1475,C14774
RI1476,C14775
RI1477,C14775
RI1478,C14782
RI1479,C14782
RI1480,C14782
RI1481,C14784
RI1482,C14791
RI1483,C14792
RI1484,C14793
RI1485,C14795
RI1486,C14809
RI1487,C14809
RI1488,C14809
RI1489,C14811
RI1490,C14811
RI1491,C14811
RI1492,C14814
RI1493,C14814
RI1494,C14814
RI1495,C14825
RI1496,C14826
RI1497,C14934
RI1498,C14942
RI1499,C14953
RI1500,C14954
RI1501,C14963
RI1502,C14964
RI1503,C14983
RI1504,C15000
RI1505,C15001
RI1506,C15064
RI1507,C15151
RI1508,C15171
RI1509,C15180
RI1510,C15181
RI1511,C15213
RI1512,C15273
RI1513,C15275
RI1514,C15275
RI1515,C15293
RI1516,C15302
RI1517,C15302
RI1518,C15315
RI1519,C15350
RI1520,C15351
RI1521,C15429
RI1522,C15429
RI1523,C15451
RI1524,C15451
RI1525,C15474
RI1526,C15475
RI1527,C15516
RI1528,C15538
RI1529,C15555
RI1530,C15644
RI1531,C15823
RI1532,C15923
RI1533,C16186
RI1534,C16201
RI1535,C16202
RI1536,C16223
RI1537,C16225
RI1538,C16260
RI1539,C16261
RI1540,C16296
RI1541,C16305
RI1542,C16308
RI1543,C16322
RI1544,C16369
RI1545,C16370
RI1546,C16390
RI1547,C16390
RI1548,C16422
RI1549,C16461
RI1550,C16523
RI1551,C16566
RI1552,C16578
RI1553,C16586
RI1554,C16589
RI1555,C16622
RI1556,C16643
RI1557,C16644
RI1558,C16649
RI1559,C16650
RI1560,C16651
RI1561,C16658
RI1562,C16700
RI1563,C16771
RI1564,C16787
RI1565,C16808
RI1566,C16809
RI1567,C16812
RI1568,C16868
RI1569,C16937
RI1570,C16964
RI1571,C17002
RI1572,C17030
RI1573,C17032
RI1574,C17035
RI1575,C17036
RI1576,C17053
RI1577,C17054
RI1578,C17058
RI1579,C17085
RI1580,C17209
RI1581,C17209
RI1582,C17438
RI1583,C17454
RI1584,C17483
RI1585,C17490
RI1586,C17527
RI1587,C17599
RI1588,C17614
RI1589,C17614
RI1590,C17641
RI1591,C17641
RI1592,C17643
RI1593,C17645
RI1594,C17645
RI1595,C17659
RI1596,C17659
RI1597,C17659
RI1598,C17686
RI1599,C17713
RI1600,C17790
RI1601,C17790
RI1602,C17912
RI1603,C18019
RI1604,C18028
RI1605,C18028
RI1606,C18043
RI1607,C18067
RI1608,C18069
RI1609,C18130
RI1610,C18133
RI1611,C18171
RI1612,C18176
RI1613,C18218
RI1614,C18316
