RInumber,cNumber,ChargedMass,RT,ionMode,S1,S2,S3,S4,S5
RI2362,C13808,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2363,C17652,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2364,C17656,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2365,C09137,353.268636092091,1499.91779999998,positive,0.000599472433941337,0.00319761783416956,0.000685581728081053,0.000467298502764128,0.000428507240937976
RI2366,C10206,355.154000266091,1336.86275,positive,0.0027314079054451,0.00286188645515794,0.00338710234170102,0.00229842046133148,0.00157452396747648
RI2367,C10574,355.154000266091,1336.86275,positive,0.0027314079054451,0.00286188645515794,0.00338710234170102,0.00229842046133148,0.00157452396747648
RI2368,C16417,355.154000266091,1336.86275,positive,0.0027314079054451,0.00286188645515794,0.00338710234170102,0.00229842046133148,0.00157452396747648
RI2369,C17499,355.154000266091,1336.86275,positive,0.0027314079054451,0.00286188645515794,0.00338710234170102,0.00229842046133148,0.00157452396747648
RI2370,C12280,355.284286156091,1548.68235000001,positive,0.000554909355918353,0.00451645067428811,0.000704195811519363,0.000599915672558146,0.000448678150933915
RI2371,C15267,357.206035836091,1347.2533,positive,1.65427181782895e-05,0.00189751870901665,4.53236289664191e-05,1.88455045088044e-06,2.67175537971976e-05
RI2372,C06497,357.217269224091,1370.90459999998,positive,8.2404596359894e-05,0.00024724157070254,0,0,0
RI2373,C07360,358.237670315091,1241.51400000001,positive,2.73352919634516e-05,0.00238782707117936,1.03045352346736e-05,2.59883518717959e-06,0.000524059240366946
RI2374,C08707,358.237670315091,1241.51400000001,positive,2.73352919634516e-05,0.00238782707117936,1.03045352346736e-05,2.59883518717959e-06,0.000524059240366946
RI2375,C10784,359.221685900091,1145.44650000001,positive,0.00024983660478023,0.000349951330142667,0.00199277994150021,0.000817585528311851,0.00118189432358043
RI2376,C10784,359.221685900091,1234.14040000002,positive,0.000338594024972251,0.00428573526357476,0.00015003948717687,0.000238765545763722,0.000471512128711333
RI2377,C14974,359.221685900091,1145.44650000001,positive,0.00024983660478023,0.000349951330142667,0.00199277994150021,0.000817585528311851,0.00118189432358043
RI2378,C14974,359.221685900091,1234.14040000002,positive,0.000338594024972251,0.00428573526357476,0.00015003948717687,0.000238765545763722,0.000471512128711333
RI2379,C15009,359.221685900091,1145.44650000001,positive,0.00024983660478023,0.000349951330142667,0.00199277994150021,0.000817585528311851,0.00118189432358043
